year,sport
1900,tennis
1900,golf
1904,archery
1908,tennis
1908,skating
1912,aquatics
1924,fencing
1928,athletics
1928,gymnastics
1936,skiing
1948,canoe
1952,equestrian
1964,volleyball
1964,luge
1976,rowing
1976,basketball
1976,handball
1980,hockey
1984,shooting
1984,cycling
1988,tennis
1988,table tennis
1988,sailing
1992,badminton
1992,judo
1992,biathlon
1996,football
1996,softball
1998,curling
1998,ice hockey
2000,weightlifting
2000,modern pentathlon
2000,taekwondo
2000,triathlon
2002,bobsleigh
2004,wrestling
2012,boxing
2016,golf
2016,rugby
2018,baseball/softball
2018,karate
2018,skateboard
2018,sports climbing
2018,surfing